"score","text","class"
4,"rt taqobbalallahu minna wa minkumsobat twitter selamat hari raya idul fitri hsemoga allah terima amal shalih kita si","Positive"
4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
9,"rt kami keluarga ucap selamat idul fitri syawal hijriah mohon maaf lahir batinsalam hormat benny rhamd","Positive"
4,"selamat hari raya idul fitrimohon maaf lahir bathin","Positive"
0,"rt shalat idul fitri di jis tadi pagi anies aniesbaswedan ","Neutral"
8,"rt cuaca wilayah banyuwangi kini umum cerah awan selamat raya idul fitri bagi yang raya ","Positive"
12,"selamat idul fitri semua mohob maaf lahir batin moga apa ada selalu kasi bahagia sama allah hari yang baik ini","Positive"
4,"yuk simak atur laksana ibadah salat idul fitri h dasar se menteri agama kena atur dalam laksana giat ibadah salat idul fitri h berik sejumlah atur untuk laksana tetapprokessaatlebaranbersama laksana sama ","Positive"
5,"selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo nya juliati sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
5,"assalamu alaikum selamat hari raya idul fitri h mohon maaf lahir dan bathin ","Positive"
-1," orang warga bina rutan pinrang kanwil kemenkumham sulsel dapat remisi khusus rk hari raya idul fitri tahun orang langsung bebas senin kumhampasti kumhamsulsel rutanpinrang ","Negative"
1,"maaf atas segala salah bicara salah kata salah sikap selamat idul fitri h ","Positive"
4,"rt selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
4,"rt selamat hari raya idul fitri hmohon maaf atas segala kata dan buat yang sengaja maupun tidak sengaja","Positive"
8,"keluarga besar border founder ucap selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
5,"penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut tentu dalam edar penyelenggaran ibdah idul fitri tahun h sama surat edar nomor se tahun tetapprokessaatlebaranbersama laksana sama ","Positive"
0,"raya idul fitri di rutan adek yasin hanya bisa bertemu keluarga via penggilan video ","Neutral"
12,"rt selamat hari raya idul fitri sobatmohon maaf lahir batinselamat bahagia sama keluarga sayang","Positive"
4,"rt selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
0,"dandim sintang hadir lepas takbir keliling sambut hari raya idul fitri h ","Neutral"
0,"rt di hari raya idul fitri ini menteri bumn erick thohir jalan sholat ied sama keluarga di mesjid at thohir di lanj","Neutral"
5,"selamat hari raya idul fitri mohon maaf lahir batin ya semua ","Positive"
8,"rt keluarga besar damkarmat kota jogjakarta ucap selamat hari raya idul fitri h mohon maaf lahir banget","Positive"
5," selamat hari raya idul fitri mohon maaf lahir batin bagi yang raya","Positive"
0,"tum kapan ajak warga akhir narasi cebong kampret di momen idul fitri rmoljakarta pada bareng ahy","Neutral"
4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
5,"minalaidin wal faizin mohon maaf lahir dan batin selamat raya hari raya idul fitri h ","Positive"
9," selamat hari raya idul fitri juga kakak cantik ","Positive"
8," mantap selamat idul fitri bang dari dulu kepala plontos terus nih","Positive"
1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
0,"rt setelah laksana sholat idul fitri menteri bumn lanjut bagi sembako kepada karyawan mesjid at ","Neutral"
4," selamat idul fitri","Positive"
7,"rt xavi dan keluarga besar fc barcelona ucap selamat hari raya idul fitri untuk semua culers yang raya","Positive"
0,"ayo ndang ditokne ucap idul fitri seko usaha e dewe ben ketok kerjone nengdi ","Neutral"
4,"selamat hari raya idul fitri h warm regard bisa kerjain ","Positive"
0,"usai laksana shalat idul fitri menteri bumn erick thohir sapa dan silaturahmi dengan masyarakat yang ikut laksana shalat di masjid at thohirtidak hanya sapa erick thohir juga turut layan minta foto selfie sama masyarakat erickthohirsolusirakyat ","Neutral"
5,"rt kami keluarga ucap selamat idul fitri mohon maaf lahir dan batin taqabalallah minna wa minkum shiamana wa shi","Positive"
0," kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri","Neutral"
4,"selamat idul fitri yall ","Positive"
0,"rt jl cendana no diam presiden r ke hm soeharto biasa tiap idul fitri laku open house keluarga pak h","Neutral"
4,"selamat hari raya idul fitri h lebaran laksana sama tetap guna masker saat laksana sholat ied tetapprokessaatlebaranbersama laksana sama ","Positive"
0,"rt menteri bumn erick thohir dan keluarga laksana shalat idul fitri di masjid at thohir cimanggis depok jawa baratsha","Neutral"
8,"rt hari menang telah tiba selamat hari raya idul fitri hijriahmohon maaf lahir dan batin erickth","Positive"
5,"rt selamat hari raya idul fitri h mohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
-1,"rt minal aidzin wal faizin moga allah suci kembali kita sela umat yang tak luput dari salah selamat hari raya id","Negative"
9,"selamat hari raya idul fitri minal aidin wal faizin mohon maaf lahir dan batin moga allah jadi kita bagai hamba nya yang lebih baik lagi selamat libur dan kumpul sama keluarga ","Positive"
5," sama mbak selamat hari raya idul fitri ayo hehe mbalik ","Positive"
0,"rt idul fitri bukan berik nyata yang bagus dan bernas eh malah pamer pamer itu kalau bangun dominan pakai apb","Neutral"
4,"selamat hari raya idul fitri buat teman teman online semua yang raya","Positive"
5,"rt untuk kamu yang nanti ditanya kapan nikah di moment idul fitri sama orang orang jawab saja nikah itu ibadah terpanjan","Positive"
-6,"idul fitri pertama jauh dari orang tua","Negative"
5,"rt menteri bumn erick thohir ucap selamat idul fitri syawal hijriah minal aidin wal faizin mohon maaf lah","Positive"
4,"selamat idul fitri ","Positive"
0,"rt kenapa pemerintah belum umum hari raya idul fitri h padahal hilal sudah lebih derajat","Neutral"
0,"rt kitar jemaah laksana salat idul fitri di masjid al aqsa ","Neutral"
4,"anggota satlantas polres tanggamus serta gabung personel polres tanggamus laksana giat aman malam takbir idul fitri h di jalinbar polres tanggamus ","Positive"
4," have nice day kak selamat idul fitri bagi yang raya req nct hello future dong","Positive"
0,"rt kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faid","Neutral"
0,"rt hai aku mau bagi bagi shopeepay thr kak untuk besok ya aku bakal priv akun ini habis shalat idul fitri okk setelah itu aku","Neutral"
4,"siang twitter selamat hari raya idul fitri ","Positive"
0," kakanwil a yuspahruddin kemenkumham jateng berkah idul fitri warga bina rutan kudus kemenkumham jateng terima remisi ","Neutral"
3,"menteri bumn laksana salat idul fitri perdana di masjid at thohir depok jawa baratidul fitri h bagai momentum besar bagi bangsa yang telah juang hadap bagai tantang akibat pandemi covid erickthohirsolusirakyat ","Positive"
5,"rt selamat hari raya idul fitri h mohon maaf lahir dan bathin ","Positive"
3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
4," selamat hari raya idul fitri maaf lahir bathin ","Positive"
8," ramadhan hhari ini akhir masuk kantor belum cuti sama lebaran idul fitri nanti alhamdulillah kerja di kantor aman jaya nasabah juga semua sahabat terimakasih sahabat syariah yang amanah moga sehat selalu semua","Positive"
8,"rt selamat hari raya idul fitri syawal hijriah berkah bahagia dan bagi warna hari nan fitri ini salam ind","Positive"
5," syawal h support selamat lebaran idul fitri mohon maaf lahir batin ","Positive"
4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
5,"selamat hari raya idul fitri h minal aidin wal faizin mohon maaf lahir dan batin ","Positive"
4," makasiiih selamat hari raya idul fitri juga ya ","Positive"
8,"rt wah dokter semua kalau aku keluarga pasien semua selamat idul fitri dok","Positive"
5," selamat hari raya idul fitri h mohon maaf lahir batin ","Positive"
5,"erick thohir sholat ied sama keluarga di mesjid at thohir di lanjut bagi sembako kepada karyawan mesjid at thohir selamat idul fitri mohon maaf lahir dan batin ","Positive"
0,"rt kasubsi ayan tahan kanwil kemenkumham sulsel rusdin rk idul fitri yang berik kepada warga bina","Neutral"
11,"rt apa kata mereka para mudik tentang terap one way ya mereka sangat bahagia rasa bantu dan mudah untu","Positive"
8," cuaca wilayah banyuwangi kini umum cerah awan selamat raya idul fitri bagi yang raya ","Positive"
0,"rt kepala rutan pinrang kanwil kemenkumham sulsel wahyu trah utomo damping kasubsi y rusdin serah cara simbol","Neutral"
-1,"karena yang mulai ramadhan sama belum tentu bertemu idul fitri sama deep","Negative"
4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
4," selamat hari raya idul fitri","Positive"
-1,"selamat hari raya idul fitri mohon maaf lahir dan batin mohon maaf jika lama ini sudah banyak salah salah ","Negative"
4,"selamat raya idul fitri ","Positive"
-1,"rt orang warga bina rutan pinrang kanwil kemenkumham sulsel dapat remisi khusus rk hari raya idul fitri tahun ","Negative"
2,"rt sama bahkan momen baik idul fitri versi gue tuh pas shubuh belum salat iedkaya beda saja","Positive"
1,"rt kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf","Positive"
